Rank,Name,Team,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
1,Miguel Tejada,OAK,356,21,91%,5.7,162,662,108,204,34,131,7,38,0.308,0.354,0.508,0.861,,,,,,,,,,,,
2,Alex Rodriguez,TEX,254,5,65%,8.8,162,624,125,187,57,142,9,87,0.3,0.392,0.623,1.015,,,,,,,,,,,,
3,Alfonso Soriano,NYY,234,2,60%,4.9,156,696,128,209,39,102,41,23,0.3,0.332,0.547,0.88,,,,,,,,,,,,
4,Garret Anderson,ANA,184,0,47%,5.1,158,638,93,195,29,123,6,30,0.306,0.332,0.539,0.871,,,,,,,,,,,,
5,Jason Giambi,NYY,162,0,41%,7.1,155,560,120,176,41,122,2,109,0.314,0.435,0.598,1.034,,,,,,,,,,,,
6,Torii Hunter,MIN,132,0,34%,3.5,148,561,89,162,29,94,23,35,0.289,0.334,0.524,0.859,,,,,,,,,,,,
7,Jim Thome,CLE,69,0,18%,7.4,147,480,101,146,52,118,1,122,0.304,0.445,0.677,1.122,,,,,,,,,,,,
8,Magglio Ordonez,CHW,59,0,15%,5.2,153,590,116,189,38,135,7,53,0.32,0.381,0.597,0.978,,,,,,,,,,,,
9,Manny Ramirez,BOS,39,0,10%,6,120,436,84,152,33,107,0,73,0.349,0.45,0.647,1.097,,,,,,,,,,,,
10,Bernie Williams,NYY,32,0,8%,4.5,154,612,102,204,19,102,8,83,0.333,0.415,0.493,0.908,,,,,,,,,,,,
11,David Eckstein,ANA,24,0,6%,5.2,152,608,107,178,8,63,21,45,0.293,0.363,0.388,0.752,,,,,,,,,,,,
11,Nomar Garciaparra,BOS,24,0,6%,6.8,156,635,101,197,24,120,5,41,0.31,0.352,0.528,0.88,,,,,,,,,,,,
13,Barry Zito,OAK,22,0,6%,7.1,2,4,0,0,0,0,0,0,0,0,0,0,*23*,5,2.75,1.134,35,*35*,0,229.1,182,24,78,182
14,Eric Chavez,OAK,14,0,4%,4.3,153,585,87,161,34,109,8,65,0.275,0.348,0.513,0.86,,,,,,,,,,,,
15,Eddie Guardado,MIN,12,0,3%,2,4,0,0,0,0,0,0,0,,,,,1,3,2.93,1.049,68,0,*45*,67.2,53,9,18,70
15,Troy Percival,ANA,12,0,3%,2.4,2,0,0,0,0,0,0,0,,,,,4,1,1.92,1.118,58,0,40,56.1,38,5,25,68
17,Ichiro Suzuki,SEA,10,0,3%,3.6,157,647,111,208,8,51,31,68,0.321,0.388,0.425,0.813,,,,,,,,,,,,
18,Billy Koch,OAK,8,0,2%,1.8,6,0,0,0,0,0,0,0,,,,,11,4,3.27,1.27,*84*,0,44,93.2,73,7,46,93
19,Derek Lowe,BOS,3,0,1%,7.3,2,3,0,1,0,0,0,1,0.333,0.5,0.333,0.833,21,8,2.58,0.974,32,32,0,219.2,166,12,48,127
20,Pedro Martinez,BOS,1,0,0%,6.4,2,5,1,0,0,0,0,1,0,0.167,0,0.167,20,4,*2.26*,*0.923*,30,30,0,199.1,144,13,40,*239*
20,Mike Sweeney,KCR,1,0,0%,5,126,471,81,160,24,86,9,61,0.34,0.417,0.563,0.979,,,,,,,,,,,,
